id,description,chart_template_id:id,type_tax_use,name,sequence,amount,price_include,amount_type,account_id:id,refund_account_id:id
tax_tem_com_sp_inc4_lt_prc,[Inc4%<],l10n_co_chart_template_comercial,purchase,[Consumo 4%<] - C,36,4,TRUE,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_com_sp_inc8_lt_prc,[Inc8%<],l10n_co_chart_template_comercial,purchase,[Consumo 8%<] - C,46,8,TRUE,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_com_sp_iva5_gt_sle,[Iva5%>],l10n_co_chart_template_comercial,sale,[Iva 5%>] - C,54,5,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_sp_iva16_gt_sle,[Iva16%>],l10n_co_chart_template_comercial,sale,[Iva 16%>] - C,64,16,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_sp_iva19_gt_sle,[Iva19%>],l10n_co_chart_template_comercial,sale,[Iva 19%>] - C,74,19,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_sp_exe0_gt_sle,[Exe0%>],l10n_co_chart_template_comercial,sale,[Exento 0%>] - C,84,0,TRUE,percent,,
tax_tem_com_sp_exc0_gt_sle,[Exc0%>],l10n_co_chart_template_comercial,sale,[Excluido 0%>] - C,94,0,TRUE,percent,,
tax_tem_com_sp_iva0_gt_sle,[Iva0%>],l10n_co_chart_template_comercial,sale,[Iva 0%>] - C,104,0,TRUE,percent,,
tax_tem_com_sp_iva5_lt_prc,[Iva5%<],l10n_co_chart_template_comercial,purchase,[Iva 5%<] - C,56,5,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_sp_iva16_lt_prc,[Iva16%<],l10n_co_chart_template_comercial,purchase,[Iva 16%<] - C,66,16,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_sp_iva19_lt_prc,[Iva19%<],l10n_co_chart_template_comercial,purchase,[Iva 19%<] - C,76,19,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_com_sp_exe0_lt_prc,[Exe0%<],l10n_co_chart_template_comercial,purchase,[Exento 0%<] - C,86,0,TRUE,percent,,
tax_tem_com_sp_exc0_lt_prc,[Exc0%<],l10n_co_chart_template_comercial,purchase,[Excluido 0%<] - C,96,0,TRUE,percent,,
tax_tem_com_sp_iva0_lt_prc,[Iva0%<],l10n_co_chart_template_comercial,purchase,[Iva 0%<] - C,106,0,TRUE,percent,,
tax_tem_com_rteiva0_75_gt_sle,RteIva0.75%>,l10n_co_chart_template_comercial,sale,RteIva 0.75%> - C,550,-0.75,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva2_5_gt_sle,RteIva2.5%>,l10n_co_chart_template_comercial,sale,RteIva 2.5%> - C,552,-2.5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva5_gt_sle,RteIva5%>,l10n_co_chart_template_comercial,sale,RteIva 5%> - C,554,-5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva2_4_gt_sle,RteIva2.4%>,l10n_co_chart_template_comercial,sale,RteIva 2.4%> - C,560,-2.4,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva8_gt_sle,RteIva8%>,l10n_co_chart_template_comercial,sale,RteIva 8%> - C,562,-8,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva16_gt_sle,RteIva16%>,l10n_co_chart_template_comercial,sale,RteIva 16%> - C,564,-16,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva2_85_gt_sle,RteIva2.85%>,l10n_co_chart_template_comercial,sale,RteIva 2.85%> - C,570,-2.85,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva9_5_gt_sle,RteIva9.5%>,l10n_co_chart_template_comercial,sale,RteIva 9.5%> - C,572,-9.5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva19_gt_sle,RteIva19%>,l10n_co_chart_template_comercial,sale,RteIva 19%> - C,574,-19,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva0_75_lt_prc,RteIva0.75%<,l10n_co_chart_template_comercial,purchase,RteIva 0.75%< - C,551,-0.75,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva2_5_lt_prc,RteIva2.5%<,l10n_co_chart_template_comercial,purchase,RteIva 2.5%< - C,553,-2.5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva5_lt_prc,RteIva5%<,l10n_co_chart_template_comercial,purchase,RteIva 5%< - C,555,-5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva2_4_lt_prc,RteIva2.4%<,l10n_co_chart_template_comercial,purchase,RteIva 2.4%< - C,561,-2.4,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva8_lt_prc,RteIva8%<,l10n_co_chart_template_comercial,purchase,RteIva 8%< - C,563,-8,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva16_lt_prc,RteIva16%<,l10n_co_chart_template_comercial,purchase,RteIva 16%< - C,565,-16,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva2_85_lt_prc,RteIva2.85%<,l10n_co_chart_template_comercial,purchase,RteIva 2.85%< - C,571,-2.85,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva9_5_lt_prc,RteIva9.5%<,l10n_co_chart_template_comercial,purchase,RteIva 9.5%< - C,573,-9.5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rteiva19_lt_prc,RteIva19%<,l10n_co_chart_template_comercial,purchase,RteIva 19%< - C,575,-19,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_com_rtefte1_gt_sle,RteFte1%>,l10n_co_chart_template_comercial,sale,RteFte 1%> - C,600,1,,percent,co_puc_com_236560,co_puc_com_236560
tax_tem_com_rtefte1_lt_prc,RteFte1%<,l10n_co_chart_template_comercial,purchase,RteFte 1%< - C,602,-1,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte1_5_gt_sle,RteFte1.5%>,l10n_co_chart_template_comercial,sale,RteFte 1.5%> - C,600,1.5,,percent,co_puc_com_236560,co_puc_com_236560
tax_tem_com_rtefte1_5_lt_prc,RteFte1.5%<,l10n_co_chart_template_comercial,purchase,RteFte 1.5%< - C,602,-1.5,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte2_gt_sle,RteFte2%>,l10n_co_chart_template_comercial,sale,RteFte 2%> - C,610,2,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_com_rtefte2_lt_prc,RteFte2%<,l10n_co_chart_template_comercial,purchase,RteFte 2%< - C,612,-2,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte2_5_gt_sle,RteFte2.5%>,l10n_co_chart_template_comercial,sale,RteFte 2.5%> - C,620,2.5,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_com_rtefte2_5_lt_prc,RteFte2.5%<,l10n_co_chart_template_comercial,purchase,RteFte 2.5%< - C,622,-2.5,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte3_5_gt_sle,RteFte3.5%>,l10n_co_chart_template_comercial,sale,RteFte 3.5%> - C,630,3.5,,percent,co_puc_com_236560,co_puc_com_236560
tax_tem_com_rtefte3_5_lt_prc,RteFte3.5%<,l10n_co_chart_template_comercial,purchase,RteFte 3.5%< - C,632,3.5,,percent,co_puc_com_236550,co_puc_com_236550
tax_tem_com_rtefte4_gt_sle,RteFte4%>,l10n_co_chart_template_comercial,sale,RteFte 4%> - C,640,4,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_com_rtefte4_lt_prc,RteFte4%<,l10n_co_chart_template_comercial,purchase,RteFte 4%< - C,642,-4,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte6_gt_sle,RteFte6%>,l10n_co_chart_template_comercial,sale,RteFte 6%> - C,650,6,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_com_rtefte6_lt_prc,RteFte6%<,l10n_co_chart_template_comercial,purchase,RteFte 6%< - C,652,-6,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte7_gt_sle,RteFte7%>,l10n_co_chart_template_comercial,sale,RteFte 7%> - C,650,7,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_com_rtefte7_lt_prc,RteFte7%<,l10n_co_chart_template_comercial,purchase,RteFte 7%< - C,652,-7,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte10_gt_sle,RteFte10%>,l10n_co_chart_template_comercial,sale,RteFte 10%> - C,660,10,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_com_rtefte10_lt_prc,RteFte10%<,l10n_co_chart_template_comercial,purchase,RteFte 10%< - C,662,-10,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte11_gt_sle,RteFte11%>,l10n_co_chart_template_comercial,sale,RteFte 11%> - C,670,11,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_com_rtefte11_lt_prc,RteFte11%<,l10n_co_chart_template_comercial,purchase,RteFte 11%< - C,672,-11,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte33_gt_sle,RteFte33%>,l10n_co_chart_template_comercial,sale,RteFte 33%> - C,682,33,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rtefte33_lt_prc,RteFte33%<,l10n_co_chart_template_comercial,purchase,RteFte 33%< - C,684,-33,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_com_rteica6_9_gt_sle,RteIca6.9‰>,l10n_co_chart_template_comercial,sale,RteIca 6.9‰> - C,700,0.69,,percent,,
tax_tem_com_rteica6_9_lt_prc,RteIca6.9‰<,l10n_co_chart_template_comercial,purchase,RteIca 6.9‰< - C,702,0.69,,percent,,
tax_tem_com_rteica11_gt_sle,RteIca11‰>,l10n_co_chart_template_comercial,sale,RteIca 11‰> - C,710,1.1,,percent,,
tax_tem_com_rteica11_lt_prc,RteIca11‰<,l10n_co_chart_template_comercial,purchase,RteIca 11‰< - C,712,-1.1,,percent,,
tax_tem_fin_cre4_gt_sle,Cre4‰>,l10n_co_chart_template_financiero,sale,Cree 4‰> - F,10,0.4,,percent,,
tax_tem_fin_cre4_gt_bs_sle,Cre4‰>\,l10n_co_chart_template_financiero,sale,Cree 4‰>\ - F,12,-0.4,,percent,co_puc_com_236705,co_puc_com_236705
tax_tem_fin_cre4_gt_s_sle,Cre4‰>/,l10n_co_chart_template_financiero,sale,Cree 4‰>/ - F,14,0.4,,percent,co_puc_com_236710,co_puc_com_236710
tax_tem_fin_gmf4_gt_sle,Gmf4‰>,l10n_co_chart_template_financiero,sale,Gmf 4‰> - F,10,0.4,,percent,,
tax_tem_fin_gmf4_gt_bs_sle,Gmf4‰>\,l10n_co_chart_template_financiero,sale,Gmf 4‰>\ - F,12,-0.4,,percent,co_puc_com_236705,co_puc_com_236705
tax_tem_fin_gmf4_gt_s_sle,Gmf4‰>/,l10n_co_chart_template_financiero,sale,Gmf 4‰>/ - F,14,0.4,,percent,co_puc_com_236710,co_puc_com_236710
tax_tem_fin_ica0_69_gt_sle,Ica0.69‰>,l10n_co_chart_template_financiero,sale,Ica 0.69‰> - F,20,0.69,,percent,,
tax_tem_fin_ica0_69_gt_bs_sle,Ica0.69‰>\,l10n_co_chart_template_financiero,sale,Ica 0.69‰>\ - F,22,-0.69,,percent,co_puc_com_236705,co_puc_com_236705
tax_tem_fin_ica0_69_gt_s_sle,Ica0.69‰>/,l10n_co_chart_template_financiero,sale,Ica 0.69‰>/ - F,24,0.69,,percent,co_puc_com_236710,co_puc_com_236710
tax_tem_fin_inc4_gt_sle,Inc4%>,l10n_co_chart_template_financiero,sale,Consumo 4%> - F,30,4,,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_fin_inc8_gt_sle,Inc8%>,l10n_co_chart_template_financiero,sale,Consumo 8%> - F,40,8,,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_fin_inc4_lt_prc,Inc4%<,l10n_co_chart_template_financiero,purchase,Consumo 4%< - F,32,4,,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_fin_inc8_lt_prc,Inc8%<,l10n_co_chart_template_financiero,purchase,Consumo 8%< - F,42,8,,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_fin_iva5_gt_sle,Iva5%>,l10n_co_chart_template_financiero,sale,Iva 5%> - F,50,5,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_iva16_gt_sle,Iva16%>,l10n_co_chart_template_financiero,sale,Iva 16%> - F,60,16,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_iva19_gt_sle,Iva19%>,l10n_co_chart_template_financiero,sale,Iva 19%> - F,70,19,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_exe0_gt_sle,Exe0%>,l10n_co_chart_template_financiero,sale,Exento 0%> - F,80,0,,percent,,
tax_tem_fin_exc0_gt_sle,Exc0%>,l10n_co_chart_template_financiero,sale,Excluido 0%> - F,82,0,,percent,,
tax_tem_fin_iva0_gt_sle,Iva0%>,l10n_co_chart_template_financiero,sale,Iva 0%> - F,84,0,,percent,,
tax_tem_fin_iva5_lt_prc,Iva5%<,l10n_co_chart_template_financiero,purchase,Iva 5%< - F,52,5,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_iva16_lt_prc,Iva16%<,l10n_co_chart_template_financiero,purchase,Iva 16%< - F,62,16,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_iva19_lt_prc,Iva19%<,l10n_co_chart_template_financiero,purchase,Iva 19%< - F,72,19,,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_exe0_lt_prc,Exe0%<,l10n_co_chart_template_financiero,purchase,Exento 0%< - F,82,0,,percent,,
tax_tem_fin_exc0_lt_prc,Exc0%<,l10n_co_chart_template_financiero,purchase,Excluido 0%< - F,92,0,,percent,,
tax_tem_fin_iva0_lt_prc,Iva0%<,l10n_co_chart_template_financiero,purchase,Iva 0%< - F,102,0,,percent,,
tax_tem_fin_sp_inc4_gt_sle,[Inc4%>],l10n_co_chart_template_financiero,sale,[Consumo 4%>] - F,34,4,TRUE,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_fin_sp_inc8_gt_sle,[Inc8%>],l10n_co_chart_template_financiero,sale,[Consumo 8%>] - F,44,8,TRUE,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_fin_sp_inc4_lt_prc,[Inc4%<],l10n_co_chart_template_financiero,purchase,[Consumo 4%<] - F,36,4,TRUE,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_fin_sp_inc8_lt_prc,[Inc8%<],l10n_co_chart_template_financiero,purchase,[Consumo 8%<] - F,46,8,TRUE,percent,co_puc_com_249510,co_puc_com_249510
tax_tem_fin_sp_iva5_gt_sle,[Iva5%>],l10n_co_chart_template_financiero,sale,[Iva 5%>] - F,54,5,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_sp_iva16_gt_sle,[Iva16%>],l10n_co_chart_template_financiero,sale,[Iva 16%>] - F,64,16,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_sp_iva19_gt_sle,[Iva19%>],l10n_co_chart_template_financiero,sale,[Iva 19%>] - F,74,19,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_sp_exe0_gt_sle,[Exe0%>],l10n_co_chart_template_financiero,sale,[Exento 0%>] - F,84,0,TRUE,percent,,
tax_tem_fin_sp_exc0_gt_sle,[Exc0%>],l10n_co_chart_template_financiero,sale,[Excluido 0%>] - F,94,0,TRUE,percent,,
tax_tem_fin_sp_iva0_gt_sle,[Iva0%>],l10n_co_chart_template_financiero,sale,[Iva 0%>] - F,104,0,TRUE,percent,,
tax_tem_fin_sp_iva5_lt_prc,[Iva5%<],l10n_co_chart_template_financiero,purchase,[Iva 5%<] - F,56,5,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_sp_iva16_lt_prc,[Iva16%<],l10n_co_chart_template_financiero,purchase,[Iva 16%<] - F,66,16,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_sp_iva19_lt_prc,[Iva19%<],l10n_co_chart_template_financiero,purchase,[Iva 19%<] - F,76,19,TRUE,percent,co_puc_com_240805,co_puc_com_240805
tax_tem_fin_sp_exe0_lt_prc,[Exe0%<],l10n_co_chart_template_financiero,purchase,[Exento 0%<] - F,86,0,TRUE,percent,,
tax_tem_fin_sp_exc0_lt_prc,[Exc0%<],l10n_co_chart_template_financiero,purchase,[Excluido 0%<] - F,96,0,TRUE,percent,,
tax_tem_fin_sp_iva0_lt_prc,[Iva0%<],l10n_co_chart_template_financiero,purchase,[Iva 0%<] - F,106,0,TRUE,percent,,
tax_tem_fin_rteiva0_75_gt_sle,RteIva0.75%>,l10n_co_chart_template_financiero,sale,RteIva 0.75%> - F,550,-0.75,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva2_5_gt_sle,RteIva2.5%>,l10n_co_chart_template_financiero,sale,RteIva 2.5%> - F,552,-2.5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva5_gt_sle,RteIva5%>,l10n_co_chart_template_financiero,sale,RteIva 5%> - F,554,-5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva2_4_gt_sle,RteIva2.4%>,l10n_co_chart_template_financiero,sale,RteIva 2.4%> - F,560,-2.4,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva8_gt_sle,RteIva8%>,l10n_co_chart_template_financiero,sale,RteIva 8%> - F,562,-8,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva16_gt_sle,RteIva16%>,l10n_co_chart_template_financiero,sale,RteIva 16%> - F,564,-16,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva2_85_gt_sle,RteIva2.85%>,l10n_co_chart_template_financiero,sale,RteIva 2.85%> - F,570,-2.85,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva9_5_gt_sle,RteIva9.5%>,l10n_co_chart_template_financiero,sale,RteIva 9.5%> - F,572,-9.5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva19_gt_sle,RteIva19%>,l10n_co_chart_template_financiero,sale,RteIva 19%> - F,574,-19,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva0_75_lt_prc,RteIva0.75%<,l10n_co_chart_template_financiero,purchase,RteIva 0.75%< - F,551,-0.75,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva2_5_lt_prc,RteIva2.5%<,l10n_co_chart_template_financiero,purchase,RteIva 2.5%< - F,553,-2.5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva5_lt_prc,RteIva5%<,l10n_co_chart_template_financiero,purchase,RteIva 5%< - F,555,-5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva2_4_lt_prc,RteIva2.4%<,l10n_co_chart_template_financiero,purchase,RteIva 2.4%< - F,561,-2.4,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva8_lt_prc,RteIva8%<,l10n_co_chart_template_financiero,purchase,RteIva 8%< - F,563,-8,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva16_lt_prc,RteIva16%<,l10n_co_chart_template_financiero,purchase,RteIva 16%< - F,565,-16,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva2_85_lt_prc,RteIva2.85%<,l10n_co_chart_template_financiero,purchase,RteIva 2.85%< - F,571,-2.85,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva9_5_lt_prc,RteIva9.5%<,l10n_co_chart_template_financiero,purchase,RteIva 9.5%< - F,573,-9.5,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rteiva19_lt_prc,RteIva19%<,l10n_co_chart_template_financiero,purchase,RteIva 19%< - F,575,-19,,percent,co_puc_com_135517,co_puc_com_135517
tax_tem_fin_rtefte1_gt_sle,RteFte1%>,l10n_co_chart_template_financiero,sale,RteFte 1%> - F,600,1,,percent,co_puc_com_236560,co_puc_com_236560
tax_tem_fin_rtefte1_lt_prc,RteFte1%<,l10n_co_chart_template_financiero,purchase,RteFte 1%< - F,602,-1,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_fin_rtefte1_5_gt_sle,RteFte1.5%>,l10n_co_chart_template_financiero,sale,RteFte 1.5%> - F,600,1.5,,percent,co_puc_com_236560,co_puc_com_236560
tax_tem_fin_rtefte1_5_lt_prc,RteFte1.5%<,l10n_co_chart_template_financiero,purchase,RteFte 1.5%< - F,602,-1.5,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_fin_rtefte2_gt_sle,RteFte2%>,l10n_co_chart_template_financiero,sale,RteFte 2%> - F,610,2,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_fin_rtefte2_lt_prc,RteFte2%<,l10n_co_chart_template_financiero,purchase,RteFte 2%< - F,612,-2,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_fin_rtefte2_5_gt_sle,RteFte2.5%>,l10n_co_chart_template_financiero,sale,RteFte 2.5%> - F,620,2.5,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_fin_rtefte2_5_lt_prc,RteFte2.5%<,l10n_co_chart_template_financiero,purchase,RteFte 2.5%< - F,622,-2.5,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_fin_rtefte3_5_gt_sle,RteFte3.5%>,l10n_co_chart_template_financiero,sale,RteFte 3.5%> - F,630,3.5,,percent,co_puc_com_236560,co_puc_com_236560
tax_tem_fin_rtefte3_5_lt_prc,RteFte3.5%<,l10n_co_chart_template_financiero,purchase,RteFte 3.5%< - F,632,3.5,,percent,co_puc_com_236550,co_puc_com_236550
tax_tem_fin_rtefte4_gt_sle,RteFte4%>,l10n_co_chart_template_financiero,sale,RteFte 4%> - F,640,4,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_fin_rtefte4_lt_prc,RteFte4%<,l10n_co_chart_template_financiero,purchase,RteFte 4%< - F,642,-4,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_fin_rtefte6_gt_sle,RteFte6%>,l10n_co_chart_template_financiero,sale,RteFte 6%> - F,650,6,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_fin_rtefte6_lt_prc,RteFte6%<,l10n_co_chart_template_financiero,purchase,RteFte 6%< - F,652,-6,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_fin_rtefte7_gt_sle,RteFte7%>,l10n_co_chart_template_financiero,sale,RteFte 7%> - F,650,7,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_fin_rtefte7_lt_prc,RteFte7%<,l10n_co_chart_template_financiero,purchase,RteFte 7%< - F,652,-7,,percent,co_puc_com_135515,co_puc_com_135515
tax_tem_fin_rtefte10_gt_sle,RteFte10%>,l10n_co_chart_template_financiero,sale,RteFte 10%> - F,660,10,,percent,co_puc_com_236540,co_puc_com_236540
tax_tem_fin_rtefte10_lt_prc,RteFte10%<,l10n_co_chart_template_financiero,purchase,RteFte 10%< - F,662,-10,,percent,co_puc_com_135515,co_puc_com_135515
